fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),377393,0.107,0,0.315,0,0.066,0.044,,
pDDM (std),11,0.0,0,0.006,0,0.001,0.001,,
mDDM (mean),377555,0.119,0,0.329,0.003,0.053,0.034,,
mDDM (std),33,0.0,0,0.006,0.0,0.002,0.001,,
mSOU (mean),377574,0.109,-0.585,0.322,0.004,0.035,0.002,,
mSOU (std),18,0.0,0.007,0.004,0.0,0.001,0.0,,
mUOU (mean),378358,0.138,0.003,0.357,0.009,0.005,0.0,,
mUOU (std),51,0.0,0.0,0.004,0.0,0.0,0.0,,
LCA (mean),379063,0.101,,0.208,,,0.034,8.618,8.618
LCA (std),66,0.0,,0.003,,,0.0,0.038,0.038
