fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391621,0.061,0,0.013,0,0.139,0.003,,
pDDM (std),63,0.0,0,0.0,0,0.003,0.0,,
mDDM (mean),391765,0.274,0,0.146,0.145,0.002,0.001,,
mDDM (std),53,0.002,0,0.002,0.002,0.0,0.0,,
mSOU (mean),391678,0.114,-0.032,0.124,0.019,0.012,0.0,,
mSOU (std),57,0.001,0.0,0.003,0.0,0.0,0.0,,
mUOU (mean),389939,0.275,3.554,0.307,0.098,0.078,0.079,,
mUOU (std),7,0.001,0.017,0.002,0.001,0.001,0.001,,
LCA (mean),390058,0.295,,0.216,,,0.251,0.009,4.064
LCA (std),17,0.001,,0.004,,,0.001,0.0,0.08
