fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),390811,0.05,0,0.129,0,0.022,0.01,,
pDDM (std),49,0.0,0,0.004,0,0.0,0.0,,
mDDM (mean),389383,0.259,0,0.389,0.242,0.058,0.023,,
mDDM (std),23,0.001,0,0.003,0.002,0.001,0.0,,
mSOU (mean),389115,0.126,-0.051,0.412,0.052,0.0,0.001,,
mSOU (std),17,0.001,0.001,0.001,0.0,0.0,0.0,,
mUOU (mean),389012,0.183,2.571,0.572,0.099,0.076,0.072,,
mUOU (std),11,0.001,0.021,0.004,0.0,0.001,0.001,,
LCA (mean),389770,0.199,,0.613,,,0.179,0.005,4.566
LCA (std),28,0.001,,0.011,,,0.001,0.0,0.085
