fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),361749,0.111,0,0.607,0,0.055,0.049,,
pDDM (std),18,0.0,0,0.012,0,0.002,0.001,,
mDDM (mean),363153,0.119,0,0.537,0.005,0.002,0.002,,
mDDM (std),68,0.001,0,0.011,0.0,0.0,0.0,,
mSOU (mean),361825,0.09,-1.232,0.542,0.001,0.036,0.0,,
mSOU (std),18,0.0,0.012,0.007,0.0,0.001,0.0,,
mUOU (mean),362395,0.121,0.001,0.855,0.005,0.063,0.037,,
mUOU (std),19,0.0,0.0,0.01,0.0,0.001,0.0,,
LCA (mean),365843,0.115,,0.339,,,0.073,6.563,6.563
LCA (std),81,0.001,,0.005,,,0.002,0.056,0.056
