fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),395536,0.345,0,0.948,0,0.321,0.009,,
pDDM (std),179,0.007,0,0.011,0,0.004,0.0,,
mDDM (mean),400044,0.179,0,0.339,0.009,0.029,0.015,,
mDDM (std),141,0.001,0,0.006,0.0,0.0,0.0,,
mSOU (mean),395589,0.331,-0.002,1.381,0.013,0.301,0.001,,
mSOU (std),173,0.003,0.0,0.018,0.0,0.003,0.0,,
mUOU (mean),378072,0.484,1.589,0.759,0.046,0.013,0.009,,
mUOU (std),18,0.002,0.009,0.013,0.0,0.0,0.0,,
LCA (mean),376895,0.426,,0.392,,,0.162,0.578,1.847
LCA (std),10,0.001,,0.003,,,0.0,0.003,0.023
