fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),394685,0.104,0,0.302,0,0.233,0.072,,
pDDM (std),168,0.001,0,0.006,0,0.003,0.001,,
mDDM (mean),388785,0.36,0,0.777,0.395,0.036,0.137,,
mDDM (std),22,0.001,0,0.008,0.002,0.0,0.002,,
mSOU (mean),388708,0.237,-2.769,0.564,0.189,0.042,0.0,,
mSOU (std),6,0.001,0.024,0.003,0.001,0.001,0.0,,
mUOU (mean),388787,0.356,0.452,0.874,0.39,0.03,0.157,,
mUOU (std),14,0.001,0.008,0.006,0.003,0.0,0.002,,
LCA (mean),391004,0.384,,0.72,,,0.362,0.012,1.751
LCA (std),59,0.001,,0.005,,,0.002,0.0,0.017
