fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391199,0.085,0,0.083,0,0.094,0.0,,
pDDM (std),75,0.0,0,0.002,0,0.002,0.0,,
mDDM (mean),389828,0.31,0,0.372,0.13,0.001,0.003,,
mDDM (std),27,0.001,0,0.008,0.0,0.0,0.0,,
mSOU (mean),389479,0.267,-0.121,0.592,0.109,0.33,0.006,,
mSOU (std),52,0.001,0.002,0.003,0.002,0.006,0.0,,
mUOU (mean),388654,0.369,1.387,0.555,0.167,0.062,0.064,,
mUOU (std),9,0.001,0.01,0.003,0.001,0.001,0.001,,
LCA (mean),390008,0.062,,6.562,,,0.0,0.23,3.219
LCA (std),65,0.0,,0.14,,,0.0,0.009,0.158
