fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),379680,0.13,0,0.128,0,0.031,0.045,,
pDDM (std),87,0.001,0,0.002,0,0.001,0.001,,
mDDM (mean),377569,0.352,0,0.505,0.073,0.047,0.094,,
mDDM (std),15,0.0,0,0.002,0.0,0.001,0.002,,
mSOU (mean),377624,0.329,-0.065,0.52,0.068,0.054,0.063,,
mSOU (std),11,0.001,0.001,0.002,0.0,0.001,0.001,,
mUOU (mean),377647,0.366,0.008,0.513,0.076,0.085,0.11,,
mUOU (std),22,0.001,0.0,0.007,0.001,0.002,0.003,,
LCA (mean),378616,0.869,,0.711,,,0.805,0.098,0.853
LCA (std),61,0.005,,0.007,,,0.005,0.001,0.013
