fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391497,0.105,0,0.117,0,0.098,0.057,,
pDDM (std),88,0.001,0,0.002,0,0.002,0.001,,
mDDM (mean),388716,0.519,0,0.556,0.359,0.028,0.22,,
mDDM (std),19,0.002,0,0.006,0.004,0.0,0.003,,
mSOU (mean),388672,0.325,-1.407,0.389,0.155,0.054,0.081,,
mSOU (std),14,0.001,0.01,0.002,0.0,0.001,0.001,,
mUOU (mean),388736,0.446,0.079,0.571,0.258,0.012,0.201,,
mUOU (std),16,0.002,0.001,0.004,0.002,0.0,0.003,,
LCA (mean),389981,0.747,,0.339,,,0.715,0.061,1.187
LCA (std),63,0.002,,0.01,,,0.001,0.001,0.017
