fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),433773,0.146,0,1.619,0,0.146,0.0,,
pDDM (std),279,0.003,0,0.029,0,0.003,0.0,,
mDDM (mean),431619,0.158,0,0.867,0.021,0.08,0.003,,
mDDM (std),113,0.002,0,0.015,0.0,0.002,0.0,,
mSOU (mean),432621,0.184,-0.014,1.0,0.05,0.047,0.003,,
mSOU (std),266,0.001,0.0,0.005,0.001,0.001,0.0,,
mUOU (mean),382440,0.526,3.507,1.954,0.086,0.028,0.011,,
mUOU (std),103,0.013,0.021,0.025,0.001,0.0,0.0,,
LCA (mean),372313,0.395,,0.73,,,0.157,0.004,1.205
LCA (std),16,0.0,,0.003,,,0.001,0.0,0.009
