fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391039,0.028,0,0.007,0,0.124,0.02,,
pDDM (std),55,0.0,0,0.0,0,0.003,0.0,,
mDDM (mean),389656,0.121,0,0.422,0.19,0.075,0.081,,
mDDM (std),14,0.001,0,0.002,0.003,0.001,0.0,,
mSOU (mean),389652,0.111,-3.784,0.394,0.173,0.077,0.073,,
mSOU (std),11,0.0,0.042,0.004,0.001,0.002,0.001,,
mUOU (mean),389671,0.195,4.246,0.544,0.501,0.024,0.138,,
mUOU (std),15,0.001,0.102,0.01,0.006,0.0,0.001,,
LCA (mean),390309,0.029,,5.274,,,0.022,0.002,0.628
LCA (std),32,0.0,,0.099,,,0.0,0.0,0.008
