fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),392735,0.077,0,0.154,0,0.134,0.044,,
pDDM (std),81,0.0,0,0.004,0,0.003,0.001,,
mDDM (mean),389050,0.272,0,0.549,0.181,0.014,0.111,,
mDDM (std),14,0.001,0,0.002,0.002,0.0,0.001,,
mSOU (mean),389002,0.239,-1.048,0.572,0.172,0.059,0.083,,
mSOU (std),12,0.001,0.021,0.004,0.001,0.001,0.001,,
mUOU (mean),389071,0.31,0.254,0.591,0.241,0.065,0.128,,
mUOU (std),14,0.001,0.004,0.007,0.001,0.001,0.002,,
LCA (mean),390235,0.264,,0.239,,,0.243,1.191,2.909
LCA (std),50,0.001,,0.004,,,0.001,0.02,0.07
