fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),367225,0.104,0,0.515,0,0.062,0.028,,
pDDM (std),12,0.0,0,0.007,0,0.001,0.0,,
mDDM (mean),367364,0.105,0,0.48,0.001,0.054,0.0,,
mDDM (std),24,0.0,0,0.013,0.0,0.001,0.0,,
mSOU (mean),367593,0.103,-0.307,0.435,0.002,0.014,0.002,,
mSOU (std),29,0.0,0.004,0.007,0.0,0.001,0.0,,
mUOU (mean),367282,0.104,0.015,0.482,0.001,0.048,0.019,,
mUOU (std),15,0.0,0.0,0.009,0.0,0.001,0.0,,
LCA (mean),370624,0.107,,0.296,,,0.052,7.409,7.409
LCA (std),100,0.001,,0.004,,,0.001,0.056,0.056
