fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),390717,0.088,0,0.083,0,0.041,0.027,,
pDDM (std),54,0.0,0,0.0,0,0.001,0.001,,
mDDM (mean),389468,0.335,0,0.302,0.115,0.045,0.057,,
mDDM (std),7,0.002,0,0.003,0.001,0.001,0.001,,
mSOU (mean),389499,0.304,-0.458,0.262,0.099,0.019,0.0,,
mSOU (std),16,0.001,0.006,0.004,0.0,0.0,0.0,,
mUOU (mean),389482,0.359,0.217,0.321,0.129,0.002,0.072,,
mUOU (std),9,0.0,0.003,0.004,0.0,0.0,0.001,,
LCA (mean),389786,0.544,,0.263,,,0.494,0.286,1.664
LCA (std),39,0.002,,0.002,,,0.001,0.003,0.039
