fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391312,0.089,0,0.058,0,0.019,0.026,,
pDDM (std),116,0.001,0,0.001,0,0.0,0.0,,
mDDM (mean),388505,0.354,0,0.482,0.164,0.054,0.055,,
mDDM (std),7,0.001,0,0.002,0.001,0.001,0.001,,
mSOU (mean),388577,0.321,-0.157,0.393,0.124,0.004,0.008,,
mSOU (std),15,0.001,0.001,0.002,0.0,0.0,0.0,,
mUOU (mean),388577,0.341,0.102,0.432,0.138,0.036,0.044,,
mUOU (std),13,0.001,0.002,0.002,0.001,0.001,0.001,,
LCA (mean),389491,0.711,,0.363,,,0.659,0.006,1.212
LCA (std),43,0.001,,0.006,,,0.001,0.0,0.013
