fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391688,0.038,0,0.032,0,0.023,0.015,,
pDDM (std),48,0.0,0,0.001,0,0.0,0.0,,
mDDM (mean),389835,0.179,0,0.378,0.194,0.001,0.057,,
mDDM (std),13,0.001,0,0.007,0.002,0.0,0.001,,
mSOU (mean),389915,0.197,-2.546,0.381,0.286,0.026,0.006,,
mSOU (std),11,0.001,0.02,0.003,0.001,0.0,0.0,,
mUOU (mean),389794,0.177,3.24,0.534,0.18,0.059,0.082,,
mUOU (std),5,0.0,0.037,0.005,0.001,0.001,0.001,,
LCA (mean),390949,0.087,,0.072,,,0.075,6.199,9.889
LCA (std),83,0.0,,0.001,,,0.0,0.044,0.081
