fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),495374,0.102,0,0.26,0,0.043,0.006,,
pDDM (std),656,0.002,0,0.006,0,0.001,0.0,,
mDDM (mean),493745,0.179,0,0.644,0.008,0.191,0.015,,
mDDM (std),507,0.002,0,0.011,0.0,0.004,0.0,,
mSOU (mean),491444,0.3,-0.015,1.351,0.0,0.401,0.005,,
mSOU (std),372,0.004,0.0,0.009,0.0,0.01,0.0,,
mUOU (mean),393443,2.124,5.444,1.785,0.141,0.047,0.008,,
mUOU (std),174,0.019,0.022,0.014,0.003,0.001,0.0,,
LCA (mean),377335,0.421,,0.385,,,0.137,1.011,0.232
LCA (std),13,0.001,,0.002,,,0.001,0.004,0.003
