fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),367654,0.148,0,0.324,0,0.074,0.045,,
pDDM (std),12,0.0,0,0.003,0,0.001,0.001,,
mDDM (mean),368514,0.138,0,0.222,0.001,0.002,0.015,,
mDDM (std),19,0.001,0,0.006,0.0,0.0,0.001,,
mSOU (mean),367790,0.142,-0.157,0.282,0.002,0.051,0.0,,
mSOU (std),16,0.0,0.002,0.004,0.0,0.001,0.0,,
mUOU (mean),367816,0.16,0.004,0.358,0.003,0.075,0.0,,
mUOU (std),22,0.001,0.0,0.003,0.0,0.001,0.0,,
LCA (mean),369549,0.136,,0.195,,,0.034,6.434,6.434
LCA (std),52,0.001,,0.004,,,0.001,0.051,0.051
