fitted model,BIC,z,B,gamma,Phi,sigma_drift,SPV,k,beta
pDDM (mean),391445,0.033,0,0.014,0,0.056,0.019,,
pDDM (std),53,0.0,0,0.0,0,0.001,0.0,,
mDDM (mean),389610,0.135,0,0.536,0.176,0.001,0.075,,
mDDM (std),9,0.0,0,0.005,0.002,0.0,0.002,,
mSOU (mean),389557,0.138,-3.744,0.395,0.179,0.066,0.069,,
mSOU (std),5,0.0,0.042,0.002,0.001,0.001,0.001,,
mUOU (mean),389566,0.175,3.106,0.514,0.237,0.0,0.105,,
mUOU (std),7,0.001,0.024,0.002,0.001,0.0,0.0,,
LCA (mean),392268,0.132,,0.002,,,0.126,0.81,10.179
LCA (std),61,0.0,,0.0,,,0.0,0.016,0.164
